"39886.00, 26552.00, 181545.00, 170222.00, 27.75,11:48:54"
"39919.00, 26552.00, 181408.00, 170222.00, 27.75,11:48:56"
"39969.00, 26552.00, 181548.00, 170222.00, 28.00,11:48:57"
"39907.00, 26552.00, 181522.00, 170222.00, 28.00,11:48:59"
"39866.00, 26552.00, 181540.00, 170222.00, 28.00,11:49:01"
"39799.00, 26552.00, 181545.00, 170222.00, 27.75,11:49:03"
"39836.00, 26552.00, 181618.00, 170222.00, 28.00,11:49:05"
"39907.00, 26552.00, 181554.00, 170222.00, 28.00,11:49:07"
"39907.00, 26552.00, 181486.00, 170222.00, 28.00,11:49:09"
"39712.00, 26552.00, 181492.00, 170222.00, 28.00,11:49:11"
"39752.00, 26552.00, 181585.00, 170222.00, 28.00,11:49:13"
"39804.00, 26552.00, 181408.00, 170222.00, 28.25,11:49:14"
"39850.00, 26552.00, 181353.00, 170222.00, 28.00,11:49:16"
"39765.00, 26552.00, 181382.00, 170222.00, 28.25,11:49:18"
"39751.00, 26552.00, 181467.00, 170222.00, 28.00,11:49:20"
"39866.00, 26552.00, 181489.00, 170222.00, 28.00,11:49:22"
"39804.00, 26552.00, 181593.00, 170222.00, 28.00,11:49:24"
"39696.00, 26552.00, 181500.00, 170222.00, 28.00,11:49:26"
"39696.00, 26552.00, 181349.00, 170222.00, 28.00,11:49:28"
"39762.00, 26552.00, 181548.00, 170222.00, 28.25,11:49:30"
"39799.00, 26552.00, 181558.00, 170222.00, 28.25,11:49:31"
"39836.00, 26552.00, 181352.00, 170222.00, 28.25,11:49:33"
"39736.00, 26552.00, 181441.00, 170222.00, 28.25,11:49:35"
"39799.00, 26552.00, 181518.00, 170222.00, 28.00,11:49:37"
"39704.00, 26552.00, 181457.00, 170222.00, 28.25,11:49:39"
"39824.00, 26552.00, 181601.00, 170222.00, 28.00,11:49:41"
"39741.00, 26552.00, 181457.00, 170222.00, 28.25,11:49:43"
"39685.00, 26552.00, 181505.00, 170222.00, 28.25,11:49:45"
"39802.00, 26552.00, 181450.00, 170222.00, 28.00,11:49:46"
"39731.00, 26552.00, 181436.00, 170222.00, 28.00,11:49:48"
"39656.00, 26552.00, 181509.00, 170222.00, 28.25,11:49:50"
"39592.00, 26552.00, 181538.00, 170222.00, 28.25,11:49:52"
"39716.00, 26552.00, 181360.00, 170222.00, 28.25,11:49:54"
"39834.00, 26552.00, 181498.00, 170222.00, 28.25,11:49:56"
"39741.00, 26552.00, 181561.00, 170222.00, 28.25,11:49:58"
"39830.00, 26552.00, 181505.00, 170222.00, 28.25,11:50:00"
"39628.00, 26552.00, 181512.00, 170222.00, 28.25,11:50:02"
"39660.00, 26552.00, 181521.00, 170222.00, 28.25,11:50:03"
"39682.00, 26552.00, 181377.00, 170222.00, 28.25,11:50:05"
"39822.00, 26552.00, 181418.00, 170222.00, 28.25,11:50:07"
"39729.00, 26552.00, 181533.00, 170222.00, 28.25,11:50:09"
"39704.00, 26552.00, 181413.00, 170222.00, 28.25,11:50:11"
